"Story","Title","Result","Date","Stability","Duration (s)"
"Delete Posts Feature","Delete posts with valid id","FAILURE","2022-11-12T11:44:20.068+07:00[Asia/Bangkok]","0.0","18.25"
"Delete Posts Feature","Delete posts with invalid id","SUCCESS","2022-11-12T11:44:38.447+07:00[Asia/Bangkok]","0.0","1.25"
"Delete Posts Feature","Delete posts without authentication","SUCCESS","2022-11-12T11:44:39.707+07:00[Asia/Bangkok]","0.0","0.25"
"Delete todos","Delete todo with valid id","SUCCESS","2022-11-12T11:44:39.976+07:00[Asia/Bangkok]","0.0","0.43"
"Delete todos","Delete todo with invalid id","SUCCESS","2022-11-12T11:44:40.428+07:00[Asia/Bangkok]","0.0","0.42"
"Delete todos","Delete todo with valid id without token","SUCCESS","2022-11-12T11:44:40.866+07:00[Asia/Bangkok]","0.0","0.33"
"Get Post Lists","Get list posts with valid page parameter","SUCCESS","2022-11-12T11:44:41.314+07:00[Asia/Bangkok]","0.0","1.89"
"Get Post Lists","Get list posts with invalid parameter page with character & special character","FAILURE","2022-11-12T11:44:43.219+07:00[Asia/Bangkok]","0.0","0.74"
"Get single post","Get single post with valid id","FAILURE","2022-11-12T11:44:43.987+07:00[Asia/Bangkok]","0.0","2.42"
"Get single post","Get single post with invalid id by alphabet","SUCCESS","2022-11-12T11:44:46.444+07:00[Asia/Bangkok]","0.0","0.38"
"Post Create New User","Post create user using valid body json","FAILURE","2022-11-12T11:44:46.837+07:00[Asia/Bangkok]","0.0","0.63"
"Post Create New User","Post create user with empty name","SUCCESS","2022-11-12T11:44:47.49+07:00[Asia/Bangkok]","0.0","0.39"
"Post Create New User","Post create user with empty email","SUCCESS","2022-11-12T11:44:47.889+07:00[Asia/Bangkok]","0.0","0.29"
"Post Create New User","Post create user with empty gender","SUCCESS","2022-11-12T11:44:48.189+07:00[Asia/Bangkok]","0.0","0.45"
"Post Create New User","Post create user with empty status","SUCCESS","2022-11-12T11:44:48.647+07:00[Asia/Bangkok]","0.0","0.43"
"Create posts feature","Create posts with valid body json","FAILURE","2022-11-12T11:44:49.086+07:00[Asia/Bangkok]","0.0","0.41"
"Create posts feature","Create posts without authentication","SUCCESS","2022-11-12T11:44:49.522+07:00[Asia/Bangkok]","0.0","0.38"
"Create posts feature","Create posts with invalid user_id","SUCCESS","2022-11-12T11:44:49.918+07:00[Asia/Bangkok]","0.0","0.39"
"Create posts feature","Create posts with invalid title","SUCCESS","2022-11-12T11:44:50.325+07:00[Asia/Bangkok]","0.0","0.37"
"Create posts feature","Create posts with invalid body","SUCCESS","2022-11-12T11:44:50.702+07:00[Asia/Bangkok]","0.0","0.42"
"Create posts feature","Create posts with invalid body json","SUCCESS","2022-11-12T11:44:51.143+07:00[Asia/Bangkok]","0.0","0.43"
"Put Update Comment","Put update comment with valid id","SUCCESS","2022-11-12T11:44:51.59+07:00[Asia/Bangkok]","0.0","0.4"
"Put Update Comment","Put update comment with invalid id and authenticated","SUCCESS","2022-11-12T11:44:52.004+07:00[Asia/Bangkok]","0.0","0.38"
"Put Update Comment","Put update comment with valid id without authentication","FAILURE","2022-11-12T11:44:52.394+07:00[Asia/Bangkok]","0.0","0.36"
"Put Update Comment","Put update comment with empty email input on body json and authenticated","SUCCESS","2022-11-12T11:44:52.787+07:00[Asia/Bangkok]","0.0","0.42"
"Put Update Comment","Put update comment with empty name input on body json and authenticated","SUCCESS","2022-11-12T11:44:53.225+07:00[Asia/Bangkok]","0.0","0.3"
"Put Update Comment","Put update comment with empty body comment on body json and authenticated","ERROR","2022-11-12T11:44:53.543+07:00[Asia/Bangkok]","0.0","0.14"
"Put Update Comment","Put update comment with empty input in body json on name and email and authenticated","SUCCESS","2022-11-12T11:44:53.736+07:00[Asia/Bangkok]","0.0","0.39"
"Put Update Comment","Put update commment with empty input in body json on name email and body comment and authenticated","SUCCESS","2022-11-12T11:44:54.146+07:00[Asia/Bangkok]","0.0","0.32"
"Update Posts Feature","Put update posts with valid body json and valid id","FAILURE","2022-11-12T11:44:54.472+07:00[Asia/Bangkok]","0.0","1.14"
"Update Posts Feature","Put update posts with valid body json and invalid id","SUCCESS","2022-11-12T11:44:56.233+07:00[Asia/Bangkok]","0.0","1.01"
"Update Posts Feature","Put update posts without authentication","FAILURE","2022-11-12T11:44:57.265+07:00[Asia/Bangkok]","0.0","0.69"
"Update Posts Feature","Put update posts with invalid title","FAILURE","2022-11-12T11:44:57.971+07:00[Asia/Bangkok]","0.0","0.72"
"Update Posts Feature","Put update posts with invalid body","FAILURE","2022-11-12T11:44:58.704+07:00[Asia/Bangkok]","0.0","0.69"
"Update Posts Feature","Put update posts with invalid body json","FAILURE","2022-11-12T11:44:59.406+07:00[Asia/Bangkok]","0.0","0.86"
